dataset,record_id,mean,std,variance,min,max,median,rms,peak_to_peak,crest_factor,skewness,kurtosis,q25,q75,iqr,env_mean,env_std,env_max,env_min,total_power,power_mean,power_std,dominant_freq,data_length,shaftSpeed,samplingRate,range
AGR.361,12,-0.0011476785697366817,0.23076253833949234,0.05325134910088567,-0.659708,0.8198738,-0.011231422,0.23076539226449252,1.4795818,3.552845562996287,0.18955205637124556,-0.4076247744862296,-0.17335033,0.15870094,0.33205127,0.29527141061266143,0.13899211985865212,0.847413698973765,0.0015537117684010797,57333276.64394256,1747.326485552315,85056.98343435315,0.10084725100572961,32812,0.0,3125.0,1.4795818
AGR.361,13,-0.0011275650327583577,0.25372752696105705,0.06437765793777393,-0.72904825,0.80620193,-0.020997524,0.2537300323979742,1.5352501799999998,3.1774004928808606,0.23555389330965773,-0.5156811817378526,-0.19288301,0.18018723,0.37307024,0.3251127716033527,0.15184950779912718,0.8458915602080659,0.001235308655719899,69316340.57285477,2112.465808455636,79138.34128524663,0.10078322616036327,32813,0.0,3125.0,1.5352501799999998
AGR.361,14,-0.0011315839937997138,0.22461740195603427,0.050452977261478675,-0.68510056,0.7368612,-0.0014648438,0.22462025230110863,1.4219617599999999,3.2804753465071377,0.05955646718523828,-0.5755790026247904,-0.17335033,0.1665144,0.33986473,0.2878298762341806,0.13439195419484254,0.7810327208846435,0.0032934366543257826,54323744.56887802,1655.555559347759,74748.83706455048,0.10090512906469996,32813,0,3125,1.4219617599999999
AGR.361,15,-0.0011471715786952948,0.2516282462369812,0.06331677430429884,-0.75346375,0.87358856,-0.011231422,0.25163086119736944,1.6270523099999998,3.471706752673676,0.16129765993383183,-0.50388088621074,-0.19092941,0.17823315,0.36916256000000003,0.32269143395013233,0.1500170092494089,0.8760558351152882,0.0007136984896126994,68169987.39430197,2077.59317915098,107208.10138136818,0.10084725100572961,32812,0.0,3125.0,1.6270523099999998
AGR.361,16,-0.0011465841336650109,0.22936387547009443,0.052607787370660984,-0.6958432,0.83940697,-0.0073246956,0.22936674132453588,1.5352501699999999,3.659671690641082,0.12472317582925259,-0.4636936162284462,-0.17139721,0.1626072,0.33400441000000003,0.29263648704070117,0.13993132547423068,0.840122135215646,0.0013019366216210006,56643850.256621875,1726.2624647737748,91342.12640029081,0.1008746533386158,32813,0.0,3125.0,1.5352501699999999
AGR.361,17,-0.0011611992496388627,0.2215749595544683,0.049095462701564264,-0.63919926,0.8071785,-0.011231422,0.22157800225938862,1.44637776,3.642863875336698,0.15987787529762368,-0.5134876918866107,-0.17042065,0.15870094,0.32912159,0.28332061831539246,0.13387195757218767,0.8211639710384189,0.002345932665919592,52862191.29582246,1611.0136621406898,93757.17819731787,0.10081370188644745,32813,0,3125,1.44637776
AGR.361,18,-0.001125662174539055,0.251832003028465,0.0634193577493288,-0.73588467,0.8325701,-0.0053715706,0.2518345188107858,1.56845477,3.3060205722851923,0.10865408280929272,-0.6138676697903187,-0.19678926,0.18507004,0.3818593,0.32333196856353347,0.14931986042994777,0.8444391177960016,0.002470355973095919,68284540.881366,2081.0209636840887,110128.77533761358,0.1008746533386158,32813,0.0,3125.0,1.56845477
AGR.361,19,-0.0011167206961340361,0.22627890433035902,0.05120214254494777,-0.64408207,0.7690897,-0.00048828125,0.2262816599065442,1.41317177,3.3988158842287044,0.055017540463310116,-0.7383740130851573,-0.18213987,0.17139721,0.35353708,0.2922777752467222,0.13030439075534325,0.7800863935153692,0.0022726219074935485,55126969.3596771,1680.0856198853194,70086.35244615076,0.10087772766061197,32812,0,3125,1.41317177
AGR.361,20,-0.0011455357835380348,0.2269626015778821,0.05151202251500045,-0.68314743,0.74760437,-0.009277821,0.22696549245916614,1.4307518,3.293912047596853,0.1269614968910757,-0.6130647466091226,-0.1762805,0.16846752,0.34474802000000004,0.2892397659567494,0.1391607526189536,0.7627469585048854,0.002689129874468129,55460664.79102764,1690.2555403824101,88298.15385825215,0.10084725100572961,32812,0,3125,1.4307518
AGR.361,21,-0.0011331331872520033,0.26683244322091354,0.07119955275524203,-0.72416544,0.8491726,-0.0014648438,0.2668348491971431,1.57333804,3.1823901658835188,0.03623467659886669,-0.831804850015244,-0.21534538,0.20948505,0.42483043,0.3463608763388128,0.14978161717351626,0.8718080564097775,0.003426575300384595,76661440.3114019,2336.313056148536,112809.39030043989,0.10084417761253162,32813,0.0,3125.0,1.57333804
AGR.361,22,-0.001133819316979551,0.21989606016785548,0.04835427727734512,-0.68021727,0.7397909,-0.017090797,0.21989898322545437,1.42000817,3.3642306533155706,0.2607588767494461,-0.34465091456730335,-0.1616311,0.14698124,0.30861234000000004,0.28075482939173985,0.13374066649358698,0.7900219403499655,0.0034180342751713487,52064094.50419571,1586.6910829304152,71319.19642643418,0.3025020571115107,32813,0.0,3125.0,1.42000817
AGR.361,23,-0.0011471715786952948,0.2516282462369812,0.06331677430429884,-0.75346375,0.87358856,-0.011231422,0.25163086119736944,1.6270523099999998,3.471706752673676,0.16129765993383183,-0.50388088621074,-0.19092941,0.17823315,0.36916256000000003,0.32269143395013233,0.1500170092494089,0.8760558351152882,0.0007136984896126994,68169987.39430197,2077.59317915098,107208.10138136818,0.10084725100572961,32812,0.0,3125.0,1.6270523099999998
AGR.361,24,-0.0011068512237268765,0.25136027449836323,0.06318198759589252,-0.6860771,0.7983885,-0.009277821,0.251362711465969,1.4844656,3.1762408009673724,0.12119213305583484,-0.7641127336834281,-0.20264912,0.1938591,0.39650821999999997,0.32427739180676524,0.14563438287169064,0.8082537053292924,0.0027585193478681836,68028920.88963607,2073.2307588344884,86789.83937586713,0.10084417761253162,32813,0.0,3125.0,1.4844656
AGR.361,25,-0.0011511601536099596,0.2410176484848272,0.058089506881155724,-0.73588467,0.85014915,-0.009277821,0.24102039758255936,1.58603382,3.5272912937121395,0.13541807415388865,-0.3667122583223712,-0.17530346,0.16456032,0.33986378,0.307014030407774,0.14806324316984287,0.8517247220075473,0.0014649391468911249,62542178.22166206,1906.0763812526534,80284.02236262836,0.10081677435084725,32812,0.0,3125.0,1.58603382
AGR.361,26,-0.0011333311339525175,0.21390471761853425,0.04575522821946488,-0.5893917,0.6772871,-0.0034179688,0.21390771996102448,1.2666788,3.166258329168328,0.140078944726839,-0.7891014775911076,-0.17921019,0.16163063,0.34084082,0.27798388036197647,0.11931765626242377,0.6888052133232472,0.002018816212499204,49262712.69467978,1501.362693364616,108559.07921312196,0.1007862976959649,32812,0,3125,1.2666788
AGR.361,27,-0.001155159124475056,0.24516431026145918,0.060105539025977026,-0.7231889,0.76225376,0.0014648438,0.2451670316714298,1.48544266,3.1091201569938827,0.023112958459813954,-0.7419163644153826,-0.1958127,0.18702316,0.38283586000000003,0.31770111364192644,0.13884673145319854,0.8813512274848609,0.00637870945748653,64716647.998357944,1972.2868374838613,134502.88012703837,0.10081370188644745,32813,0.0,3125.0,1.48544266
AGR.361,28,-0.001112655409561759,0.2453516502189036,0.06019743226513921,-0.74076796,0.8677292,-0.019043922,0.24535417311959387,1.60849716,3.536639254866228,0.21938973809368126,-0.41205376403876626,-0.18213987,0.16846752,0.35060739,0.31323214988470915,0.14927063613096153,0.8741532981299962,0.00070070776160226,64815485.01984318,1975.298967477621,101790.8354059527,0.10078322616036327,32813,0.0,3125.0,1.60849716
AGR.361,29,-0.0011459507160916738,0.19275850517763038,0.03715584131831456,-0.5679059,0.6890068,-0.0024414062,0.19276191149020663,1.2569127,3.5743928594265126,0.09460994608488899,-0.6362504307398513,-0.151865,0.14209843,0.29396343,0.24742534511478295,0.11442768201720778,0.6897749944808385,0.0010730766936023989,40004408.582927525,1219.200554154807,70449.79545065812,0.10087772766061197,32812,0.0,3125.0,1.2569127
AGR.361,30,-0.0011002122491085848,0.22881136352913486,0.0523546400800619,-0.67045116,0.7134228,-0.010254383,0.22881400863377002,1.38387396,3.117915744144294,0.13699432174584847,-0.525393969505406,-0.1743269,0.16553783,0.33986473,0.2915040771648819,0.14048438925150175,0.8131299224035581,0.0006325208388026397,56371176.17002892,1717.9525240005155,71958.95135406303,0.10084417761253162,32813,0,3125,1.38387396
