dataset,record_id,mean,std,variance,min,max,median,rms,peak_to_peak,crest_factor,skewness,kurtosis,q25,q75,iqr,env_mean,env_std,env_max,env_min,total_power,power_mean,power_std,dominant_freq,data_length,shaftSpeed,samplingRate,range,reconstruction_mse,anomaly
AGR.361,20,-0.001145535783538,0.2269626015778821,0.0515120225150004,-0.68314743,0.74760437,-0.009277821,0.2269654924591661,1.4307518,3.293912047596853,0.1269614968910757,-0.6130647466091226,-0.1762805,0.16846752,0.34474802,0.2892397659567494,0.1391607526189536,0.7627469585048854,0.0026891298744681,55460664.79102764,1690.25554038241,88298.15385825215,0.1008472510057296,32812,0.0,3125.0,1.4307518,0.004720318744493643,False
AGR.361,21,-0.001133133187252,0.2668324432209135,0.071199552755242,-0.72416544,0.8491726,-0.0014648438,0.2668348491971431,1.57333804,3.1823901658835188,0.0362346765988666,-0.831804850015244,-0.21534538,0.20948505,0.42483043,0.3463608763388128,0.1497816171735162,0.8718080564097775,0.0034265753003845,76661440.3114019,2336.313056148536,112809.39030043987,0.1008441776125316,32813,0.0,3125.0,1.57333804,0.05272340876347111,False
AGR.361,22,-0.0011338193169795,0.2198960601678554,0.0483542772773451,-0.68021727,0.7397909,-0.017090797,0.2198989832254543,1.42000817,3.3642306533155706,0.2607588767494461,-0.3446509145673033,-0.1616311,0.14698124,0.30861234,0.2807548293917398,0.1337406664935869,0.7900219403499655,0.0034180342751713,52064094.50419571,1586.6910829304152,71319.19642643418,0.3025020571115107,32813,0.0,3125.0,1.42000817,0.008260795153197279,False
AGR.361,23,-0.0011471715786952,0.2516282462369812,0.0633167743042988,-0.75346375,0.87358856,-0.011231422,0.2516308611973694,1.6270523099999998,3.471706752673676,0.1612976599338318,-0.50388088621074,-0.19092941,0.17823315,0.36916256,0.3226914339501323,0.1500170092494089,0.8760558351152882,0.0007136984896126,68169987.39430197,2077.59317915098,107208.10138136818,0.1008472510057296,32812,0.0,3125.0,1.6270523099999998,0.007984804751103594,False
AGR.361,24,-0.0011068512237268,0.2513602744983632,0.0631819875958925,-0.6860771,0.7983885,-0.009277821,0.251362711465969,1.4844656,3.1762408009673724,0.1211921330558348,-0.7641127336834281,-0.20264912,0.1938591,0.3965082199999999,0.3242773918067652,0.1456343828716906,0.8082537053292924,0.0027585193478681,68028920.88963607,2073.2307588344884,86789.83937586713,0.1008441776125316,32813,0.0,3125.0,1.4844656,0.010898952949302243,False
AGR.361,25,-0.0011511601536099,0.2410176484848272,0.0580895068811557,-0.73588467,0.85014915,-0.009277821,0.2410203975825593,1.58603382,3.5272912937121395,0.1354180741538886,-0.3667122583223712,-0.17530346,0.16456032,0.33986378,0.307014030407774,0.1480632431698428,0.8517247220075473,0.0014649391468911,62542178.22166206,1906.0763812526532,80284.02236262836,0.1008167743508472,32812,0.0,3125.0,1.58603382,0.014962760807154979,False
AGR.361,26,-0.0011333311339525,0.2139047176185342,0.0457552282194648,-0.5893917,0.6772871,-0.0034179688,0.2139077199610244,1.2666788,3.166258329168328,0.140078944726839,-0.7891014775911076,-0.17921019,0.16163063,0.34084082,0.2779838803619764,0.1193176562624237,0.6888052133232472,0.0020188162124992,49262712.69467978,1501.362693364616,108559.07921312196,0.1007862976959649,32812,0.0,3125.0,1.2666788,0.013367277922675641,False
AGR.361,27,-0.001155159124475,0.2451643102614591,0.060105539025977,-0.7231889,0.76225376,0.0014648438,0.2451670316714298,1.48544266,3.1091201569938827,0.0231129584598139,-0.7419163644153826,-0.1958127,0.18702316,0.38283586,0.3177011136419264,0.1388467314531985,0.8813512274848609,0.0063787094574865,64716647.99835794,1972.2868374838613,134502.88012703837,0.1008137018864474,32813,0.0,3125.0,1.48544266,0.0071440994306849245,False
AGR.361,28,-0.0011126554095617,0.2453516502189036,0.0601974322651392,-0.74076796,0.8677292,-0.019043922,0.2453541731195938,1.60849716,3.536639254866228,0.2193897380936812,-0.4120537640387662,-0.18213987,0.16846752,0.35060739,0.3132321498847091,0.1492706361309615,0.8741532981299962,0.0007007077616022,64815485.01984318,1975.298967477621,101790.8354059527,0.1007832261603632,32813,0.0,3125.0,1.60849716,0.011361110456361841,False
AGR.361,29,-0.0011459507160916,0.1927585051776303,0.0371558413183145,-0.5679059,0.6890068,-0.0024414062,0.1927619114902066,1.2569127,3.5743928594265126,0.0946099460848889,-0.6362504307398513,-0.151865,0.14209843,0.29396343,0.2474253451147829,0.1144276820172077,0.6897749944808385,0.0010730766936023,40004408.582927525,1219.200554154807,70449.79545065812,0.1008777276606119,32812,0.0,3125.0,1.2569127,0.028352957559189734,False
