dataset,record_id,rms,peak_to_peak,skewness,kurtosis,qcd,reconstruction_mse,is_anomaly
AGR.361,52,0.23635916,1.4551673,0.094136085,-0.59740924,-40.444688,0.7261693541756672,False
AGR.361,53,0.22315322,1.482512,0.13245747,-0.47760832,-33.498774,0.4754477991968562,False
AGR.361,54,0.23754775,1.5577125,0.18888129,-0.43389454,-23.332467,0.6426067022827981,False
AGR.361,55,0.25947494,1.4200086,0.0053920228,-1.0609645,-56.625072,2.7536637783320512,False
AGR.361,56,0.22558058,1.5293899,0.128735,-0.58358223,-34.90213,0.7178734643436987,False
AGR.361,57,0.22434338,1.2862115,0.035158402,-0.83887534,-33.817225,1.398165482827254,False
AGR.361,58,0.24590313,1.5762677,0.12035621,-0.64238572,-34.90973,0.9613508410263197,False
AGR.361,59,0.21328622,1.4248915,0.16001205,-0.51995792,-25.07752,0.5528431018972632,False
AGR.361,60,0.24388877,1.4952083,0.10880219,-0.53566766,-46.122141,0.650033811513121,False
AGR.361,61,0.22859498,1.4493074,0.18911827,-0.50528854,-26.767836,0.6627747401226829,False
AGR.361,62,0.22079002,1.4258681,0.18588124,-0.51370977,-22.266587,0.6300905820230875,False
AGR.361,63,0.22079002,1.4258681,0.18588124,-0.51370977,-22.266587,0.6300905820230875,False
AGR.361,64,0.22974358,1.546969,0.20846058,-0.38115772,-33.898736,0.614194342148713,False
AGR.361,65,0.23165678,1.4483304,0.1250504,-0.44362581,-34.498712,0.4226918253822295,False
AGR.361,66,0.2054205,1.3272295,0.23085601,-0.46352997,-21.785518,0.6740203827797513,False
AGR.361,67,0.22769796,1.4063358,0.18018704,-0.65978709,-29.750612,0.9290520716862425,False
AGR.361,68,0.25101771,1.5489225,0.087053121,-0.51293554,-37.69856,0.6645770362574603,False
AGR.361,69,0.19359287,1.2080822,0.20227346,-0.50610678,-19.600559,0.5679388597850112,False
AGR.361,70,0.23857236,1.4698162,0.06287571,-0.78338348,-43.333637,1.287534642916882,False
AGR.361,71,0.23615744,1.490325,0.25793035,-0.47150567,-22.061793,0.9969463700505339,False
AGR.361,72,0.25464296,1.6368184,0.1173672,-0.6146465,-44.220118,0.9782795517058993,False
AGR.361,73,0.24422091,1.5450168,0.14904533,-0.52306254,-52.85291,0.7079479210514076,False
AGR.361,74,0.21989898,1.4200082,0.26075888,-0.34465091,-21.06589,0.7700215404388167,False
AGR.361,75,0.25464296,1.6368184,0.1173672,-0.6146465,-44.220118,0.9782795517058993,False
AGR.361,76,0.24590313,1.5762677,0.12035621,-0.64238572,-34.90973,0.9613508410263197,False
AGR.361,77,0.23582604,1.4961853,0.10393273,-0.73701367,-54.289043,1.1148891971511516,False
AGR.361,78,0.23671457,1.4600501,0.090208407,-0.55874362,-32.909641,0.6445265201262883,False
AGR.361,79,0.22769796,1.4063358,0.18018704,-0.65978709,-29.750612,0.9290520716862425,False
AGR.361,80,0.23446735,1.4766522,0.072020381,-0.66232398,-61.827001,0.904729301309208,False
AGR.361,81,0.24942067,1.5821276,0.088396895,-0.60475262,-34.156207,0.8784359600147399,False
AGR.361,82,0.25231878,1.6221695,0.089639525,-0.59936294,-64.832064,0.9056531185986165,False
AGR.361,83,0.25136271,1.4844656,0.12119213,-0.76411273,-45.10891,1.2763622899867724,False
AGR.361,84,0.19276191,1.2569127,0.094609946,-0.63625043,-30.098943,0.6330555264933847,False
AGR.361,85,0.22974358,1.546969,0.20846058,-0.38115772,-33.898736,0.614194342148713,False
AGR.361,86,0.20354111,1.2110114,0.0070172859,-0.81438602,-30.362808,1.313913996186923,False
AGR.361,87,0.0060039724,0.050784588,0.05816734,-1.1115495,-5.4989017,3.513214425862915,False
AGR.361,88,0.20902451,1.2696085,0.15943869,-0.63494953,-25.07752,0.70760801741044,False
AGR.361,89,0.21989898,1.4200082,0.26075888,-0.34465091,-21.06589,0.7700215404388167,False
